[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\Users\admin\Desktop\PAT用ファイル\前処理ファイル[環境設定前]\TEMPO酸化\R101-14\Sample20230726PAT(分析のみ)_202308011534_0-10_20230801_002.lcd
Output Date	2023/11/10
Output Time	11:16:38

[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	検出器A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	10
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.257	0.200	0.308	1695	476	3.560	0.000	   			0.000	105	1432.269	0.000	0.000	0.000	0	0	0.000	0.000
2	0.328	0.308	0.542	3404	766	4.443	0.000	 V 			0.276	396	379.049	0.000	0.851	0.000	0	0	0.000	0.000
3	0.558	0.542	0.608	374	130	2.869	0.000	 V 	1	アセトフェノン	1.170	232	646.033	0.000	2.166	4.247	0	0	0.000	0.000
4	0.642	0.608	0.742	630	86	7.365	0.000	 V 			1.494	32	4724.900	0.000	0.277	1.277	0	0	0.000	0.000
5	0.788	0.742	0.850	654	200	3.263	0.000	 V 			2.065	2283	65.700	0.000	0.563	1.382	0	0	0.000	0.000
6	0.881	0.850	0.967	4648	2492	1.865	0.000	 V 	2	benzylalcohol	2.426	5415	27.699	1.414	1.630	1.175	0	0	0.000	0.000
7	1.016	0.967	1.150	6427	3165	2.031	0.000	 V 		benzoicacid	2.951	6416	23.378	1.410	2.738	1.216	0	0	0.000	0.000
8	1.659	1.583	1.792	957593	372284	2.572	0.000	   		benzaldehyde	5.449	10201	14.705	1.284	11.037	1.847	0	0	0.000	0.000
9	1.846	1.792	2.167	67440	21646	3.116	0.000	 V 			6.176	8210	18.271	1.383	2.544	1.134	0	0	0.000	0.000
10	2.750	2.642	2.917	16644	4458	3.733	0.000	   		nitrobenzene	9.692	12944	11.589	1.213	10.149	1.569	0	0	0.000	0.000

