[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\Users\admin\Desktop\PAT用ファイル\前処理ファイル[環境設定前]\TEMPO酸化\R101-14\Sample20230726PAT(分析のみ)_202308011534_0-22_20230801_002.lcd
Output Date	2023/11/10
Output Time	11:19:03

[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	検出器A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	13
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.258	0.208	0.300	1444	432	3.345	0.000	   			0.000	102	1475.151	0.000	0.000	0.000	0	0	0.000	0.000
2	0.328	0.300	0.408	4230	1543	2.742	0.000	 V 			0.267	525	285.534	0.000	0.865	0.000	0	0	0.000	0.000
3	0.443	0.408	0.483	1078	292	3.695	0.000	 V 			0.715	185	810.950	0.000	1.233	2.674	0	0	0.000	0.000
4	0.502	0.483	0.600	1780	474	3.752	0.000	 V 	1	アセトフェノン	0.941	1086	138.121	0.000	0.612	1.317	0	0	0.000	0.000
5	0.692	0.600	0.725	1516	213	7.129	0.000	 V 			1.676	2	60545.736	0.000	0.209	1.781	0	0	0.000	0.000
6	0.790	0.725	0.842	2344	665	3.524	0.000	 V 			2.054	2178	68.865	0.000	0.107	1.226	0	0	0.000	0.000
7	0.882	0.842	0.983	9299	4441	2.094	0.000	 V 	2	benzylalcohol	2.412	5307	28.266	0.000	1.594	1.174	0	0	0.000	0.000
8	1.017	0.983	1.167	8609	3505	2.456	0.000	 V 		benzoicacid	2.936	6164	24.337	0.000	2.698	1.217	0	0	0.000	0.000
9	1.245	1.167	1.317	1537	180	8.522	0.000	 V 			3.818	11	13584.323	0.000	0.294	1.300	0	0	0.000	0.000
10	1.358	1.317	1.508	1796	169	10.638	0.000	 V 			4.255	21	7219.969	0.000	0.084	1.114	0	0	0.000	0.000
11	1.660	1.508	1.792	585688	233439	2.509	0.000	 V 		benzaldehyde	5.424	10549	14.220	1.255	0.481	1.275	0	0	0.000	0.000
12	1.850	1.792	2.217	67348	19208	3.506	0.000	 V 			6.156	6389	23.478	1.388	2.408	1.135	0	0	0.000	0.000
13	2.752	2.642	2.950	13679	3722	3.675	0.000	   		nitrobenzene	9.646	13326	11.256	1.192	9.601	1.567	0	0	0.000	0.000

