[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\Users\admin\Desktop\PAT用ファイル\前処理ファイル[環境設定前]\TEMPO酸化\R101-14\Sample(DUmmyあり)_202310131031_0-5_20231013_004.lcd
Output Date	2023/11/10
Output Time	11:10:05

[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	検出器A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	11
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.261	0.150	0.292	484	167	2.890	0.000	   			0.000	169	887.432	0.000	0.000	0.000	0	0	0.000	0.000
2	0.324	0.292	0.367	572	195	2.932	0.000	 V 			0.241	275	544.942	0.000	0.795	0.000	0	0	0.000	0.000
3	0.390	0.367	0.492	555	277	2.003	0.000	 V 	1	アセトフェノン	0.494	1144	131.135	0.000	1.063	2.048	0	0	0.000	0.000
4	0.638	0.492	0.692	514	76	6.739	0.000	   			1.443	233	642.880	0.000	2.325	2.921	0	0	0.000	0.000
5	0.754	0.692	0.842	3156	1063	2.969	0.000	 V 			1.887	2121	70.733	0.000	0.996	1.307	0	0	0.000	0.000
6	0.870	0.842	0.958	1785	637	2.802	0.000	 V 	2	benzylalcohol	2.328	2653	56.548	0.000	1.733	1.234	0	0	0.000	0.000
7	0.997	0.958	1.292	6600	2434	2.711	0.000	 V 		benzoicacid	2.818	3478	43.129	1.508	1.892	1.210	0	0	0.000	0.000
8	1.617	1.525	1.742	994827	285708	3.482	0.000	   		benzaldehyde	5.188	5221	28.729	1.611	7.882	1.841	0	0	0.000	0.000
9	1.785	1.742	2.258	62448	15213	4.105	0.000	 V 			5.834	3730	40.210	0.000	1.635	1.124	0	0	0.000	0.000
10	2.429	2.308	2.558	312	34	9.122	0.000	   			8.297	1915	78.346	0.000	3.797	1.422	0	0	0.000	0.000
11	2.657	2.558	2.867	11269	2186	5.155	0.000	 V 		nitrobenzene	9.171	7758	19.336	1.625	1.333	1.105	0	0	0.000	0.000

