[Header]
Application Name	LabSolutions
Version	5.110
Data File Name	C:\Users\admin\Desktop\PAT用ファイル\前処理ファイル[環境設定前]\TEMPO酸化\R101-14\Sample(DUmmyあり)_202310131251_0-5_20231013_004.lcd
Output Date	2023/11/10
Output Time	11:06:48

[Configuration]
Instrument Name	HPLC
Instrument #	1
Line #	1
# of Detectors	1
Detector ID	Detector A
Detector Name	検出器A
# of Channels	1

[Peak Table(Detector A)]
# of Peaks	15
Peak#	R.Time	I.Time	F.Time	Area	Height	A/H	Conc.	Mark	ID#	Name	k'	Plate #	Plate Ht.	Tailing	Resolution	Sep.Factor	Area Ratio	Height Ratio	Conc. %	Norm Conc.
1	0.257	0.167	0.292	696	157	4.426	0.000	   			0.000	47	3175.098	0.000	0.000	0.000	0	0	0.000	0.000
2	0.322	0.292	0.417	726	176	4.128	0.000	 V 			0.255	304	492.656	0.000	0.586	0.000	0	0	0.000	0.000
3	0.644	0.575	0.692	292	76	3.818	0.000	 V 			1.508	776	193.401	0.000	3.868	5.916	0	0	0.000	0.000
4	0.752	0.692	0.958	31540	14290	2.207	0.000	SV 			1.927	2919	51.390	1.480	1.454	1.278	0	0	0.000	0.000
5	0.869	0.850	0.950	182	68	2.666	0.000	T  	2	benzylalcohol	2.385	2896	51.795	2.135	1.953	1.237	0	0	0.000	0.000
6	0.997	0.958	1.075	5840	2376	2.458	0.000	   		benzoicacid	2.883	3570	42.013	1.483	1.949	1.209	0	0	0.000	0.000
7	1.105	1.075	1.283	548	80	6.810	0.000	 V 			3.302	750	199.941	0.000	0.942	1.145	0	0	0.000	0.000
8	1.315	1.283	1.417	557	203	2.751	0.000	   			4.119	4679	32.060	1.541	1.762	1.247	0	0	0.000	0.000
9	1.487	1.417	1.525	237	85	2.795	0.000	   			4.789	3374	44.462	0.000	1.921	1.163	0	0	0.000	0.000
10	1.617	1.525	1.742	890545	256994	3.465	0.000	 V 		benzaldehyde	5.295	5442	27.564	1.615	1.366	1.106	0	0	0.000	0.000
11	1.785	1.742	2.192	55286	13687	4.039	0.000	SV 			5.951	5333	28.128	0.000	1.816	1.124	0	0	0.000	0.000
12	1.959	1.933	2.050	199	67	2.966	0.000	T  			6.626	11978	12.523	1.960	2.048	1.113	0	0	0.000	0.000
13	2.388	2.317	2.508	103	25	4.065	0.000	   			8.297	11040	13.587	1.147	5.282	1.252	0	0	0.000	0.000
14	2.657	2.575	2.850	9716	1870	5.195	0.000	   		nitrobenzene	9.344	7741	19.378	1.660	2.541	1.126	0	0	0.000	0.000
15	2.910	2.850	2.967	279	82	3.400	0.000	   			10.330	15564	9.638	0.996	2.366	1.106	0	0	0.000	0.000

